"OECD commercial ex. US NGL & other, x","OECD commercial ex. US NGL & other, y","Non-OECD stocks ex. China SPR, x","Non-OECD stocks ex. China SPR, y"
"0.0005689429","215.8978004849","0.0049701385","454.3041723731"
"0.0431461959","185.3174305283","0.0947259656","423.2116188802"
"0.0965336722","154.767189015","0.1706917349","395.1198583408"
"0.1400896298","124.5784888214","0.2466785502","365.0034664111"
"0.1875588401","96.1071098963","0.3295474286","334.6339955577"
"0.2360338455","65.4212903881","0.4124163069","304.2645247043"
"0.2845044663","35.1572690862","0.4883820762","276.1727641648"
"0.3329805678","4.3660000265","0.5574605209","248.8402403967"
"0.3883761111","'-30.2741776657","0.6334262902","220.7484798573"
"0.4368494722","'-60.8018228465","0.7162951685","190.3790090038"
"0.4853244776","'-91.4876423547","0.7991640469","160.0095381504"
"0.5337950984","'-121.7516636566","0.8751508622","129.8931462207"
"0.5822712","'-152.5429327163","0.9828080582","97.3725045152"
"0.6376667433","'-187.1831104085","1.097381846","94.3671922953"
"0.6861401044","'-217.7107555893","1.2331482433","104.2171390446"
"0.7346151098","'-248.3965750975","1.3843809568","115.2605829913"
"0.7830857306","'-278.6605963993","1.5356184536","125.8438834403"
"0.8315618322","'-309.4518654591","1.6868535587","136.6572556381"
"0.8869573755","'-344.0920431513","1.8380862722","147.7006995848"
"0.9753301285","'-374.4931488702","1.9871442258","147.3555919615"
"0.9969695484","'-398.6046681539","2.0586043834","111.5027444261"
"1.0844434491","'-339.0982536732","2.1001857066","82.1877690884"
"1.1272875362","'-300.80500223","2.1417670298","52.8727937507"
"1.1682002083","'-265.7957511073","2.1833461606","23.7687175162"
"1.2091084959","'-230.3647017782","2.2249318684","'-5.9680560278"
"1.2500167835","'-194.9336524492","2.266508807","'-34.8612331592"
"1.2909294556","'-159.9244013265","2.3080945148","'-64.5980067032"
"1.3318421278","'-124.9151502038","2.3496824148","'-94.5456793503"
"1.3727504154","'-89.4841008748","2.3912615457","'-123.6497555849"
"1.4136674722","'-54.8966479583","2.4387689646","'-155.7968045935"
"1.4545757597","'-19.4655986293","2.4744465535","'-184.4308771124"
"1.4954840473","15.9654506997","2.5160098998","'-212.0164798043"
"1.5363967195","50.9747018224","2.5635138736","'-243.8321159365"
"1.5773247377","84.5076592231","2.5991918384","'-272.5023425874"
"1.6183084404","112.6837794038","2.646681531","'-302.9441217048"
"1.6454350635","150.3081794055","2.6892694323","'-334.5488587338"
"1.6864025431","180.0449529495","2.7239450156","'-361.3330448337"
"1.7273152153","215.0542040723","2.7714283191","'-391.1602037076"
"1.7682235029","250.4852534013","2.8140177864","'-422.9155829532"
"1.809136175","285.494504524","2.8555969173","'-452.0196591878"
"1.8500488472","320.5037556467","2.8971760481","'-481.1237354223"
"1.8909571348","355.9348049757","2.976193789","'-508.6812182338"
"1.9731832313","387.4009511656","3.0051730504","'-536.1521783362"
"1.9982372555","420.7781676901","3.0011348368","'-554.9384215244"
"2.0720497493","362.2617780702","3.0828313836","'-472.529596969"
"2.0953166119","329.9942152884","3.0556178359","'-501.7918475309"
"2.1231368782","300.8901390539","3.112253672","'-435.1477309358"
"2.1509615291","271.364264613","3.1394447487","'-403.7237645667"
"2.17878618","241.8383901722","3.1666358253","'-372.2997981975"
"2.2066064463","212.7343139376","3.1938290943","'-341.0867309314"
"2.2344310972","183.2084394968","3.2210245556","'-310.0845627685"
"2.2622557481","153.6825650559","3.2482156323","'-278.6605963993"
"2.2900803991","124.1566906151","3.2754089012","'-247.4475291333"
"2.320225128","92.0397700498","3.3026021702","'-216.2344618673"
"2.3480359988","63.8395471145","3.3297910546","'-184.5995963949"
"2.3735499672","36.0008654988","3.3569843236","'-153.3865291289"
"2.4036972016","3.6429173871","3.3841732079","'-121.7516636566"
"2.4315073207","'-24.4849972843","3.4113664769","'-90.5385963905"
"2.4570239199","'-52.5767578237","3.4385641305","'-59.7473273308"
"2.4871711543","'-84.9347059354","3.4657530149","'-28.1124618584"
"2.5149839042","'-113.3156995306","3.4929462839","3.1006054076"
"2.5428154452","'-143.5043997242","3.5201395528","34.3136726736"
"2.57295485","'-175.1091367532","3.5473284372","65.948538146"
"2.5984552261","'-201.6402439294","3.5745217062","97.161605412"
"2.6263110077","'-234.1608856349","3.6017127829","128.5855717812"
"2.6748375321","'-269.8028340671","3.6289038595","160.0095381504"
"2.7151188223","'-306.4149183737","3.6560993208","191.0117063133"
"2.7650549946","'-345.3047129944","3.6832860129","222.8574708888"
"2.7928314149","'-370.190807166","3.7160207858","256.7218411658"
"2.8351997732","'-475.2185605341","3.7353609914","287.0551578873"
"2.876866596","'-512.7586008946","3.7648658198","316.4966726869"
"2.9165691195","'-550.4191550284","3.7920590888","347.7097399529"
"2.9859898916","'-587.0478099788","3.8192501655","379.1337063221"
"3.0420932732","'-607.0568623901","3.8464412421","410.5576726913"
"3.0019240642","'-630.862098658","3.8736367034","441.5598408542"
"3.1484480796","'-563.9227233186","3.9008255878","473.1947063265"
"3.2072793929","'-532.003144057","3.9335581684","507.2699757067"
"3.2620254678","'-504.1644624413","3.9979182973","538.477565074"
"3.3167698984","'-476.1676064983","4.0076425357","565.626031443"
"3.3715159733","'-448.3289248827","4.102638867","503.1122505304"
"3.4262620482","'-420.490243267","4.1462621595","466.4459350258"
"3.4751297882","'-394.4140755848","4.1878851363","433.1238767282"
"3.5289060059","'-367.8181922556","4.2295124977","399.3800202244"
"3.5836520808","'-339.9795106399","4.2711376669","365.8470628237"
"3.6383965115","'-311.9826546969","4.312762836","332.3141054231"
"3.6931425864","'-284.1439730812","4.3543858129","298.9920471255"
"3.7478886612","'-256.3052914656","4.3960131743","265.2481906217"
"3.8026298035","'-227.9920868678","4.4376361512","231.9261323242"
"3.8573758783","'-200.1534052522","4.479259128","198.6040740266"
"3.912120309","'-172.1565493091","4.5208842971","165.071116626"
"3.961966597","'-145.6736476423","4.562507274","131.7490583284"
"4.0215971127","'-115.0028923558","4.6041368277","97.7943027215"
"4.1176384158","'-88.9568531169","4.6457598046","64.4722444239"
"4.2274363912","'-62.6999147749","4.6873827814","31.1501861264"
"4.3372261455","'-35.652104796","4.7290079506","'-2.3827712743"
"4.4470224766","'-9.2369921266","4.7706331197","'-35.9157286749"
"4.5568155193","17.4944691975","4.8122582888","'-69.4486860756"
"4.6551844953","40.2188475618","4.853883458","'-102.9816434763"
"4.7750247318","71.0522964422","4.8955064348","'-136.3037017738"
"4.8999189834","101.0105140445","4.9629519461","'-171.9983749818"
"5.0028354125","127.4708193788","5.0254777206","'-197.6753407902"
"5.0850477288","160.2626170742","5.0133885105","'-225.9358206121"
"5.1626752602","192.9097982416","5.0961220927","'-148.7467488596"
"5.2311495075","223.7010673014","5.1223413548","'-118.3772780062"
"5.2983353097","252.3833453296","5.1495609314","'-89.6949999779"
"5.3658410309","281.8037702189","5.1767848925","'-61.434520156"
"5.4411716913","314.8094798617","5.2040088537","'-33.174040334"
"5.4904343895","340.7078897284","5.2312350071","'-5.1244596152"
"5.5368830535","372.5958341245","5.2584611606","22.9251211036"
"5.7151090187","434.0940126027","5.2856851217","51.1856009256"
"5.7698524628","462.1857731422","5.3129046983","79.8678789538"
"5.8383258332","493.0614018432","5.3401286595","108.1283587758"
"5.9068005189","523.8104910823","5.3673526206","136.3888385977"
"5.9927623317","556.8833049852","5.3945787741","164.4384193165"
"6.0872733394","558.2473017822","5.4218049275","192.4880000353"
"6.2162815798","532.7947928764","5.4490288887","220.7484798573"
"6.3059106294","513.8982332343","5.4762484652","249.4307578855"
"6.4920159341","479.2053307663","5.5034724264","277.6912377075"
"6.6161094487","453.8341686575","5.5306963875","305.9517175294"
"6.7539835316","426.3751054275","5.557922541","334.0012982482"
"6.8918549838","399.1691211213","5.5851486944","362.0508789671"
"7.0419379763","388.4554466813","5.6123704633","390.5222578922"
"7.1323707225","424.603552961","5.6395922321","418.9936368173"
"7.2008401468","455.8588000477","5.6668161933","447.2541166392"
"7.2693148325","486.6078892868","5.6940401544","475.5145964612"
"7.3377803106","518.2427547591","5.7212663079","503.56417718"
"7.4062484194","549.6245413077","5.7484924613","531.6137578988"
"7.4747165282","581.0063278563","5.7757164225","559.8742377207"
"7.5431898986","611.8819565573","5.8029359991","588.556515749"
"7.6116580074","643.2637431058","5.8301599602","616.8169955709"
"7.6801234855","674.8986085782","5.8573839214","645.0774753929"
"7.7485968559","705.7742372792","5.8846100748","673.1270561117"
"7.8170675955","736.9029449039","5.9118362283","701.1766368305"
"7.8855317582","768.6643498382","5.9390601894","729.4371166525"
"7.9494284865","798.6120224853","6.0101867804","759.6119114107"
"8.0501430721","816.2892018583","6.010725327","784.1654339196"
"8.1743269806","782.2221493263","6.1091856747","719.3139597013"
"8.2709472071","752.5757611122","6.1528070881","682.8284148566"
"8.3675655545","723.110143558","6.194430065","649.506356559"
"8.4641839018","693.6445260038","6.2360508495","616.3951973646"
"8.5608041283","663.9981377897","6.2776694418","583.4949372734"
"8.6574168384","635.074832215","6.319288034","550.5946771822"
"8.7540370648","605.4284440009","6.3609066263","517.694417091"
"8.8506591704","575.601285127","6.4025317954","484.1614596903"
"8.9472775178","546.1356675728","6.44415258","451.0503004959"
"9.0712132126","535.9467758362","6.4857711722","418.1500404047"
"9.2223167798","559.414094223","6.5273897645","385.2497803134"
"9.3734119764","583.6866637308","6.5690083567","352.3495202222"
"9.524507173","607.9592332387","6.610626949","319.449260131"
"9.6756023697","632.2318027466","6.6522477335","286.3381009366"
"9.8266939789","656.8494798778","6.6938663257","253.4378408454"
"9.9778065146","679.4540292062","6.7354914949","219.9048834447"
"10.1292694194","668.3530673222","6.7771100871","187.0046233535"
"10.2808955509","641.5497085766","6.8187286794","154.1043632622"
"10.4325133117","615.551600952","6.8603494639","120.9932040678"
"10.58413466","589.2083857042","6.9019680562","88.0929439766"
"10.735757204","562.7501345819","6.9593376858","52.6317662043"
"10.8873761606","536.6369910829","7.0264374825","26.5590748809"
"11.0252362527","510.5238475839","7.0198347857","'-0.0628811396"
"11.1356153437","480.8774593698","7.1085549084","68.4793273838"
"11.2322224164","452.4964657746","7.1494982728","100.5359910624"
"11.32882761","424.2962428393","7.1904416371","132.592654741"
"11.4254346827","395.9152492441","7.2313893861","164.2275202134"
"11.5220398763","367.7150263088","7.2723327504","196.284183892"
"11.618646949","339.3340327136","7.3132804994","227.9190493643"
"11.7152521426","311.1338097782","7.3542216714","260.1866121461"
"11.798021428","290.3451838964","7.3951628435","292.4541749279"
"11.8946842477","256.6013273926","7.4361127847","323.8781412971"
"12.0325965563","225.4649507095","7.4770539568","356.1457040789"
"12.1838723186","232.3671031762","7.5179995134","387.9914686544"
"12.3232898536","245.5140602556","7.5589450701","419.8372332299"
"12.4862588229","262.046358783","7.5998884344","451.8938969085"
"12.6374556624","276.540878963","7.6408361834","483.5287623808"
"12.7886513062","291.1504350175","7.6817795477","515.5854260595"
"12.9398421668","306.2201345698","7.7227229121","547.6420897381"
"13.0912363132","301.7337354665","7.7636684687","579.4878543136"
"13.2291304191","272.3484604277","7.8046096408","611.7554170954"
"13.3532378913","245.6345740289","7.8455551974","643.6011816709"
"13.4842439419","217.0788354625","7.8865029464","675.2360471432"
"13.6152482386","188.6918161786","7.9274441184","707.503609925"
"13.7255252312","168.8673004826","8.0155372438","741.8199068516"
"13.8634869662","132.9761076559","8.0271417054","759.9873581657"
"14.0013675197","104.8945725275","8.1312624964","713.5621659791"
"14.1254866842","77.0558909118","8.2013674151","681.0709223303"
"14.2496190025","47.9518146773","8.2597643975","651.8262466937"
"14.3737454747","19.4101360511","8.3258081167","622.3003722528"
"14.4909788127","'-7.8134231804","8.384202176","593.3368954204"
"14.6013160934","'-33.4376642129","8.4517905886","562.2784874966"
"14.7185516237","'-60.8721225476","8.5193734474","531.7543573009"
"14.8426795574","'-89.5544005758","8.5777704298","502.5096816642"
"14.9668089526","'-118.3772780062","8.643814149","472.9838072234"
"15.0495287547","'-134.4056098455","8.7022082083","444.0203303909"
"","","8.7697966209","412.9619224672"
"","","8.8373794797","382.4377922715"
"","","8.8957764621","353.1931166348"
"","","8.9618201812","323.667242194"
"","","9.0460751236","307.0253856909"
"","","9.1971834741","330.0325605799"
"","","9.3482703001","355.1103812089"
"","","9.4993607135","379.8430942145"
"","","9.6504475396","404.9209148435"
"","","9.8015355614","429.883699598"
"","","9.9526343454","453.8111614826"
"","","10.0971192841","452.1891556529"
"","","10.2349973132","424.3504740372"
"","","10.3728753423","396.5117924216"
"","","10.5107533713","368.6731108059"
"","","10.6486340311","340.5813502665"
"","","10.7865120602","312.7426686508"
"","","10.9243900892","284.9039870352"
"","","11.0690575069","265.7275067652"
"","","11.2203858844","267.5680807563"
"","","11.3717023038","270.5590134919"
"","","11.5230199191","273.434910353"
"","","11.6743375343","276.3108072142"
"","","11.8256563454","279.0716682008"
"","","11.9769739607","281.9475650619"
"","","12.12840996","273.434910353"
"","","12.2799236864","257.4449238052"
"","","12.4314374127","241.4549372574"
"","","12.582951139","225.4649507095"
"","","12.7344660611","209.3599282872"
"","","12.8859785916","193.4849776138"
"","","13.0374815557","178.530313936"
"","","13.1888936391","172.318376716"
"","","13.3402925687","167.3718341149"
"","","13.4916879109","162.7703991371"
"","","13.6430844489","158.0539282848"
"","","13.7944821827","153.2224215581"
"","","13.9458799165","148.3909148315"
"","","14.0973876639","132.9761076559"
"","","14.242140342","105.597569538"
"","","14.3868978033","77.7588879223"
"","","14.5316539493","50.0467457686"
"","","14.6695175092","23.5999982337"
"","","14.8073784383","'-2.5936703774"
"","","14.9452419982","'-29.0404179123"
"","","15.0417296533","'-45.9334360745"
