"Energy share of HY Issuance, x","Energy share of HY Issuance, y","US oil rig count  (monthly change), x","US oil rig count  (monthly change), y"
-0.007132542,-160.5370312,0.011735465,20.45383628
0.122505598,-114.5058235,0.12804319,22.14590061
0.38630269,-214.7994168,0.394776985,24.12053858
0.90796482,23.22763251,0.658041786,25.02229987
1.165391982,-158.5585749,1.167409776,25.3552172
1.424403287,-20.25887826,1.427039062,21.64791547
1.691932129,-175.218455,1.686950872,23.94021077
2.207670831,-96.59767043,1.936415472,22.15962875
2.464554869,-183.610224,2.206425547,21.11470305
2.726413701,54.31806331,2.476566592,22.8510475
2.990876888,-162.2073697,2.729666707,25.67952849
3.247069946,-128.6453555,2.985904646,22.54824594
3.511006113,-253.2071352,3.249302289,26.2710098
3.77038926,-179.7929051,3.505573907,23.85491101
4.035618246,66.56668327,3.765553073,27.57757381
4.549500511,-127.3838821,4.015070062,26.90949984
5.071398336,69.51497785,4.291801086,23.40136556
5.327844656,58.8833475,4.548255128,24.85917876
5.585743207,-205.1592388,4.804581005,23.59532045
5.85956439,-265.087108,5.074673404,24.2986217
6.109298216,-297.4349777,5.313977996,24.54409046
6.36903271,-285.3298498,5.590776378,22.46632369
6.627859558,-114.8428745,5.847161192,22.45403695
6.890945174,-90.98553584,6.106736218,17.59449473
7.147655004,-147.5989929,6.372640217,1.947799707
7.406562369,8.837979877,6.636000439,4.875914955
7.664094934,-191.3409582,7.41949487,18.98420428
7.925423819,139.0618916,7.682862577,22.07124925
,,7.936015081,26.0122383
,,8.18547781,24.19192385