,company,bigram,count,Words,portion
0,"EQUIFAX, INC.",credit_report,827,184.77025392986698,39.47494033412888
1,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_report,655,188.98320610687023,37.752161383285305
2,Experian Information Solutions Inc.,credit_report,696,196.45833333333334,39.035333707235
3,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_report,93,312.9569892473118,9.946524064171124
4,"Navient Solutions, LLC.",credit_report,63,264.4920634920635,6.231454005934718
5,WELLS FARGO & COMPANY,credit_report,70,277.2142857142857,8.215962441314554
6,SYNCHRONY FINANCIAL,credit_report,69,200.2753623188406,13.018867924528301
7,JPMORGAN CHASE & CO.,credit_report,82,300.9634146341463,10.110974106041924
8,"CITIBANK, N.A.",credit_report,89,270.96629213483146,8.120437956204379
9,CAPITAL ONE FINANCIAL CORPORATION,credit_report,98,248.08163265306123,13.861386138613861
10,"EQUIFAX, INC.",credit_card,112,200.88392857142858,5.3460620525059666
11,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_card,96,207.85416666666666,5.53314121037464
12,Experian Information Solutions Inc.,credit_card,117,235.17948717948718,6.561974200785193
13,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_card,144,303.6875,15.401069518716577
14,"Navient Solutions, LLC.",credit_card,19,349.57894736842104,1.8793273986152323
15,WELLS FARGO & COMPANY,credit_card,92,297.5,10.7981220657277
16,SYNCHRONY FINANCIAL,credit_card,119,243.3781512605042,22.452830188679247
17,JPMORGAN CHASE & CO.,credit_card,194,291.8144329896907,23.921085080147964
18,"CITIBANK, N.A.",credit_card,262,283.30916030534354,23.905109489051096
19,CAPITAL ONE FINANCIAL CORPORATION,credit_card,175,272.86857142857144,24.752475247524753
20,"EQUIFAX, INC.",make_payment,19,369.6842105263158,0.9069212410501193
21,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",make_payment,20,248.2,1.1527377521613833
22,Experian Information Solutions Inc.,make_payment,30,405.73333333333335,1.682557487380819
23,"BANK OF AMERICA, NATIONAL ASSOCIATION",make_payment,71,505.98591549295776,7.593582887700535
24,"Navient Solutions, LLC.",make_payment,132,324.2878787878788,13.056379821958457
25,WELLS FARGO & COMPANY,make_payment,80,364.5,9.389671361502348
26,SYNCHRONY FINANCIAL,make_payment,41,332.7073170731707,7.735849056603773
27,JPMORGAN CHASE & CO.,make_payment,51,435.5882352941176,6.288532675709002
28,"CITIBANK, N.A.",make_payment,88,348.89772727272725,8.02919708029197
29,CAPITAL ONE FINANCIAL CORPORATION,make_payment,51,334.47058823529414,7.2135785007072135
30,"EQUIFAX, INC.",customer_service,29,426.3448275862069,1.3842482100238664
31,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",customer_service,34,250.7941176470588,1.9596541786743515
32,Experian Information Solutions Inc.,customer_service,19,297.7894736842105,1.065619742007852
33,"BANK OF AMERICA, NATIONAL ASSOCIATION",customer_service,64,485.46875,6.8449197860962565
34,"Navient Solutions, LLC.",customer_service,41,329.7073170731707,4.055390702274975
35,WELLS FARGO & COMPANY,customer_service,52,463.3076923076923,6.103286384976526
36,SYNCHRONY FINANCIAL,customer_service,31,320.38709677419354,5.849056603773585
37,JPMORGAN CHASE & CO.,customer_service,61,438.26229508196724,7.52157829839704
38,"CITIBANK, N.A.",customer_service,99,352.3333333333333,9.032846715328468
39,CAPITAL ONE FINANCIAL CORPORATION,customer_service,33,313.969696969697,4.667609618104668
40,"EQUIFAX, INC.",credit_reporting,204,240.49019607843138,9.737470167064439
41,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_reporting,152,267.6513157894737,8.760806916426512
42,Experian Information Solutions Inc.,credit_reporting,176,270.46022727272725,9.87100392596747
43,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_reporting,24,345.9583333333333,2.5668449197860963
44,"Navient Solutions, LLC.",credit_reporting,8,171.375,0.7912957467853611
45,WELLS FARGO & COMPANY,credit_reporting,16,319.625,1.8779342723004695
46,SYNCHRONY FINANCIAL,credit_reporting,15,189.73333333333332,2.830188679245283
47,JPMORGAN CHASE & CO.,credit_reporting,12,283.0,1.4796547472256474
48,"CITIBANK, N.A.",credit_reporting,19,340.05263157894734,1.7335766423357664
49,CAPITAL ONE FINANCIAL CORPORATION,credit_reporting,20,242.85,2.828854314002829
50,"EQUIFAX, INC.",call_back,7,446.14285714285717,0.3341288782816229
51,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",call_back,12,378.4166666666667,0.69164265129683
52,Experian Information Solutions Inc.,call_back,15,383.0,0.8412787436904094
53,"BANK OF AMERICA, NATIONAL ASSOCIATION",call_back,47,525.6170212765958,5.026737967914438
54,"Navient Solutions, LLC.",call_back,36,389.6666666666667,3.5608308605341246
55,WELLS FARGO & COMPANY,call_back,44,567.0909090909091,5.164319248826291
56,SYNCHRONY FINANCIAL,call_back,13,334.38461538461536,2.452830188679245
57,JPMORGAN CHASE & CO.,call_back,45,556.8,5.548705302096177
58,"CITIBANK, N.A.",call_back,33,445.6363636363636,3.010948905109489
59,CAPITAL ONE FINANCIAL CORPORATION,call_back,32,429.75,4.526166902404526
60,"EQUIFAX, INC.",phone_call,33,266.969696969697,1.5751789976133652
61,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",phone_call,22,397.22727272727275,1.2680115273775217
62,Experian Information Solutions Inc.,phone_call,15,293.1333333333333,0.8412787436904094
63,"BANK OF AMERICA, NATIONAL ASSOCIATION",phone_call,49,580.0204081632653,5.240641711229946
64,"Navient Solutions, LLC.",phone_call,64,348.5625,6.330365974282889
65,WELLS FARGO & COMPANY,phone_call,47,482.8510638297872,5.516431924882629
66,SYNCHRONY FINANCIAL,phone_call,18,353.05555555555554,3.3962264150943398
67,JPMORGAN CHASE & CO.,phone_call,42,381.6666666666667,5.178791615289765
68,"CITIBANK, N.A.",phone_call,59,399.20338983050846,5.383211678832117
69,CAPITAL ONE FINANCIAL CORPORATION,phone_call,20,339.75,2.828854314002829
70,"EQUIFAX, INC.",collection_agency,55,280.03636363636366,2.6252983293556085
71,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",collection_agency,54,293.8703703703704,3.112391930835735
72,Experian Information Solutions Inc.,collection_agency,49,227.08163265306123,2.748177229388671
73,"BANK OF AMERICA, NATIONAL ASSOCIATION",collection_agency,9,376.77777777777777,0.9625668449197861
74,"Navient Solutions, LLC.",collection_agency,17,395.1764705882353,1.6815034619188922
75,WELLS FARGO & COMPANY,collection_agency,1,204.0,0.11737089201877934
76,SYNCHRONY FINANCIAL,collection_agency,12,250.5,2.2641509433962264
77,JPMORGAN CHASE & CO.,collection_agency,5,346.4,0.6165228113440198
78,"CITIBANK, N.A.",collection_agency,18,341.94444444444446,1.6423357664233578
79,CAPITAL ONE FINANCIAL CORPORATION,collection_agency,5,223.6,0.7072135785007072
80,"EQUIFAX, INC.",credit_bureaus,154,234.6818181818182,7.350835322195704
81,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_bureaus,124,233.7741935483871,7.1469740634005765
82,Experian Information Solutions Inc.,credit_bureaus,124,256.758064516129,6.954570947840718
83,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_bureaus,22,353.59090909090907,2.3529411764705883
84,"Navient Solutions, LLC.",credit_bureaus,24,303.625,2.373887240356083
85,WELLS FARGO & COMPANY,credit_bureaus,14,328.7142857142857,1.6431924882629108
86,SYNCHRONY FINANCIAL,credit_bureaus,23,240.7826086956522,4.339622641509434
87,JPMORGAN CHASE & CO.,credit_bureaus,13,322.7692307692308,1.6029593094944512
88,"CITIBANK, N.A.",credit_bureaus,26,352.46153846153845,2.372262773722628
89,CAPITAL ONE FINANCIAL CORPORATION,credit_bureaus,24,417.5833333333333,3.3946251768033946
90,"EQUIFAX, INC.",credit_score,136,239.5441176470588,6.491646778042959
91,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",credit_score,118,195.82203389830508,6.801152737752162
92,Experian Information Solutions Inc.,credit_score,101,268.44554455445547,5.664610207515423
93,"BANK OF AMERICA, NATIONAL ASSOCIATION",credit_score,31,336.51612903225805,3.3155080213903743
94,"Navient Solutions, LLC.",credit_score,36,271.69444444444446,3.5608308605341246
95,WELLS FARGO & COMPANY,credit_score,23,267.04347826086956,2.699530516431925
96,SYNCHRONY FINANCIAL,credit_score,30,336.1666666666667,5.660377358490566
97,JPMORGAN CHASE & CO.,credit_score,29,250.3793103448276,3.5758323057953145
98,"CITIBANK, N.A.",credit_score,52,313.5769230769231,4.744525547445256
99,CAPITAL ONE FINANCIAL CORPORATION,credit_score,21,440.0952380952381,2.9702970297029703
100,"EQUIFAX, INC.",30_day,97,236.77319587628867,4.630071599045346
101,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",30_day,100,237.55,5.763688760806916
102,Experian Information Solutions Inc.,30_day,96,251.0625,5.38418395961862
103,"BANK OF AMERICA, NATIONAL ASSOCIATION",30_day,31,349.5806451612903,3.3155080213903743
104,"Navient Solutions, LLC.",30_day,8,421.5,0.7912957467853611
105,WELLS FARGO & COMPANY,30_day,37,395.1621621621622,4.342723004694836
106,SYNCHRONY FINANCIAL,30_day,16,229.75,3.018867924528302
107,JPMORGAN CHASE & CO.,30_day,28,351.25,3.4525277435265105
108,"CITIBANK, N.A.",30_day,39,325.7692307692308,3.5583941605839415
109,CAPITAL ONE FINANCIAL CORPORATION,30_day,30,251.33333333333334,4.243281471004243
110,"EQUIFAX, INC.",student_loan,45,207.44444444444446,2.1479713603818618
111,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",student_loan,48,193.75,2.76657060518732
112,Experian Information Solutions Inc.,student_loan,41,249.390243902439,2.299495232753786
113,"BANK OF AMERICA, NATIONAL ASSOCIATION",student_loan,1,755.0,0.10695187165775401
114,"Navient Solutions, LLC.",student_loan,273,268.57875457875457,27.002967359050444
115,WELLS FARGO & COMPANY,student_loan,18,371.44444444444446,2.112676056338028
116,SYNCHRONY FINANCIAL,student_loan,0,,0.0
117,JPMORGAN CHASE & CO.,student_loan,5,333.6,0.6165228113440198
118,"CITIBANK, N.A.",student_loan,6,385.0,0.5474452554744526
119,CAPITAL ONE FINANCIAL CORPORATION,student_loan,1,404.0,0.14144271570014144
120,"EQUIFAX, INC.",report_credit,145,251.11724137931034,6.921241050119332
121,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",report_credit,116,249.57758620689654,6.685878962536023
122,Experian Information Solutions Inc.,report_credit,107,239.9626168224299,6.001121704991587
123,"BANK OF AMERICA, NATIONAL ASSOCIATION",report_credit,21,345.76190476190476,2.2459893048128343
124,"Navient Solutions, LLC.",report_credit,25,297.0,2.472799208704253
125,WELLS FARGO & COMPANY,report_credit,21,304.9047619047619,2.464788732394366
126,SYNCHRONY FINANCIAL,report_credit,11,207.72727272727272,2.0754716981132075
127,JPMORGAN CHASE & CO.,report_credit,29,316.86206896551727,3.5758323057953145
128,"CITIBANK, N.A.",report_credit,26,391.6923076923077,2.372262773722628
129,CAPITAL ONE FINANCIAL CORPORATION,report_credit,27,396.44444444444446,3.818953323903819
130,"EQUIFAX, INC.",interest_rate,18,459.6666666666667,0.8591885441527446
131,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",interest_rate,9,317.8888888888889,0.5187319884726225
132,Experian Information Solutions Inc.,interest_rate,17,302.47058823529414,0.9534492428491307
133,"BANK OF AMERICA, NATIONAL ASSOCIATION",interest_rate,47,362.1063829787234,5.026737967914438
134,"Navient Solutions, LLC.",interest_rate,94,301.82978723404256,9.297725024727992
135,WELLS FARGO & COMPANY,interest_rate,54,378.962962962963,6.338028169014085
136,SYNCHRONY FINANCIAL,interest_rate,16,370.0625,3.018867924528302
137,JPMORGAN CHASE & CO.,interest_rate,29,384.0,3.5758323057953145
138,"CITIBANK, N.A.",interest_rate,26,371.5,2.372262773722628
139,CAPITAL ONE FINANCIAL CORPORATION,interest_rate,22,501.8636363636364,3.1117397454031117
140,"EQUIFAX, INC.",receive_letter,35,263.14285714285717,1.6706443914081146
141,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",receive_letter,31,291.9032258064516,1.7867435158501441
142,Experian Information Solutions Inc.,receive_letter,29,225.6551724137931,1.6264722378014582
143,"BANK OF AMERICA, NATIONAL ASSOCIATION",receive_letter,60,519.6333333333333,6.4171122994652405
144,"Navient Solutions, LLC.",receive_letter,14,343.64285714285717,1.3847675568743818
145,WELLS FARGO & COMPANY,receive_letter,44,423.45454545454544,5.164319248826291
146,SYNCHRONY FINANCIAL,receive_letter,16,354.3125,3.018867924528302
147,JPMORGAN CHASE & CO.,receive_letter,36,378.69444444444446,4.438964241676942
148,"CITIBANK, N.A.",receive_letter,48,408.625,4.37956204379562
149,CAPITAL ONE FINANCIAL CORPORATION,receive_letter,15,395.46666666666664,2.1216407355021216
150,"EQUIFAX, INC.",loan_modification,3,276.6666666666667,0.1431980906921241
151,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",loan_modification,3,119.33333333333333,0.1729106628242075
152,Experian Information Solutions Inc.,loan_modification,3,213.33333333333334,0.16825574873808188
153,"BANK OF AMERICA, NATIONAL ASSOCIATION",loan_modification,63,473.984126984127,6.737967914438503
154,"Navient Solutions, LLC.",loan_modification,3,232.0,0.29673590504451036
155,WELLS FARGO & COMPANY,loan_modification,71,357.6901408450704,8.333333333333334
156,SYNCHRONY FINANCIAL,loan_modification,0,,0.0
157,JPMORGAN CHASE & CO.,loan_modification,31,431.2258064516129,3.822441430332922
158,"CITIBANK, N.A.",loan_modification,19,459.94736842105266,1.7335766423357664
159,CAPITAL ONE FINANCIAL CORPORATION,loan_modification,1,243.0,0.14144271570014144
160,"EQUIFAX, INC.",late_payment,52,290.03846153846155,2.4821002386634845
161,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",late_payment,53,189.62264150943398,3.0547550432276656
162,Experian Information Solutions Inc.,late_payment,49,300.3673469387755,2.748177229388671
163,"BANK OF AMERICA, NATIONAL ASSOCIATION",late_payment,30,357.76666666666665,3.2085561497326203
164,"Navient Solutions, LLC.",late_payment,33,303.1515151515151,3.264094955489614
165,WELLS FARGO & COMPANY,late_payment,39,334.4871794871795,4.577464788732394
166,SYNCHRONY FINANCIAL,late_payment,20,300.4,3.7735849056603774
167,JPMORGAN CHASE & CO.,late_payment,20,388.1,2.466091245376079
168,"CITIBANK, N.A.",late_payment,36,257.9166666666667,3.2846715328467155
169,CAPITAL ONE FINANCIAL CORPORATION,late_payment,33,319.3939393939394,4.667609618104668
170,"EQUIFAX, INC.",late_fee,7,293.2857142857143,0.3341288782816229
171,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",late_fee,1,247.0,0.05763688760806916
172,Experian Information Solutions Inc.,late_fee,4,1058.5,0.2243409983174425
173,"BANK OF AMERICA, NATIONAL ASSOCIATION",late_fee,29,304.0344827586207,3.1016042780748663
174,"Navient Solutions, LLC.",late_fee,31,356.83870967741933,3.066271018793274
175,WELLS FARGO & COMPANY,late_fee,29,344.3103448275862,3.403755868544601
176,SYNCHRONY FINANCIAL,late_fee,44,270.8181818181818,8.30188679245283
177,JPMORGAN CHASE & CO.,late_fee,23,434.2608695652174,2.8360049321824907
178,"CITIBANK, N.A.",late_fee,62,262.96774193548384,5.656934306569343
179,CAPITAL ONE FINANCIAL CORPORATION,late_fee,39,272.05128205128204,5.516265912305516
180,"EQUIFAX, INC.",even_though,47,289.40425531914894,2.243436754176611
181,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",even_though,20,252.65,1.1527377521613833
182,Experian Information Solutions Inc.,even_though,35,303.9142857142857,1.962983735277622
183,"BANK OF AMERICA, NATIONAL ASSOCIATION",even_though,55,368.72727272727275,5.882352941176471
184,"Navient Solutions, LLC.",even_though,59,288.23728813559325,5.835806132542038
185,WELLS FARGO & COMPANY,even_though,54,397.5,6.338028169014085
186,SYNCHRONY FINANCIAL,even_though,22,348.90909090909093,4.150943396226415
187,JPMORGAN CHASE & CO.,even_though,40,339.3,4.932182490752158
188,"CITIBANK, N.A.",even_though,49,370.0204081632653,4.470802919708029
189,CAPITAL ONE FINANCIAL CORPORATION,even_though,31,428.3225806451613,4.384724186704385
190,"EQUIFAX, INC.",would_like,70,164.67142857142858,3.341288782816229
191,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",would_like,67,188.67164179104478,3.861671469740634
192,Experian Information Solutions Inc.,would_like,60,232.78333333333333,3.365114974761638
193,"BANK OF AMERICA, NATIONAL ASSOCIATION",would_like,44,509.8636363636364,4.705882352941177
194,"Navient Solutions, LLC.",would_like,31,344.61290322580646,3.066271018793274
195,WELLS FARGO & COMPANY,would_like,46,453.0652173913044,5.39906103286385
196,SYNCHRONY FINANCIAL,would_like,14,285.85714285714283,2.641509433962264
197,JPMORGAN CHASE & CO.,would_like,36,392.44444444444446,4.438964241676942
198,"CITIBANK, N.A.",would_like,40,350.475,3.6496350364963503
199,CAPITAL ONE FINANCIAL CORPORATION,would_like,29,327.44827586206895,4.101838755304102
